train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp,test.loss.mean,test.loss.confidence,test.acc.mean,test.acc.confidence
2,2,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.9600000017881394,0.871000046133995,2019-11-06 15:53:47,0.4097716522216797,0.030486202332899403,0.8598333805799487,0.01077039636431988
5,5,20,20,5,15,200,100,True,True,True,200,0.001,0.0,0.9247142902016638,0.8516190576553344,2019-11-06 21:17:41,0.5389404216408727,0.019725019442927223,0.8050476306676864,0.008537481226880115
2,2,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.9700000059604648,0.9516666978597642,2019-11-06 16:01:08,0.19550509783905,0.024598540725050414,0.9220000422000882,0.011569270672202535
2,2,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.9775000053644183,0.9286667078733443,2019-11-06 16:01:14,0.2149561211280525,0.02719470159793854,0.9133333736658092,0.014505311847834032
2,2,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.9590000090003014,0.7951111227273939,2019-11-06 16:02:07,0.6203542365133765,0.05215020033462096,0.7168889036774635,0.02979671208026614
2,2,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.932500009536743,0.8546667170524598,2019-11-06 15:40:21,0.46275256127119047,0.045514410613454695,0.7740000472962858,0.0289448645094049
2,2,10,10,5,15,200,100,False,False,True,200,0.001,0.0,0.9490000322461128,0.907333338856697,2019-11-06 16:02:11,0.45914433464407933,0.03235758505283923,0.8204444551467899,0.014697966227827073
2,2,10,10,5,15,200,100,True,True,False,200,0.001,0.0,0.9573333483934401,0.8000000107288364,2019-11-06 16:02:22,0.6539877229928965,0.05305596151093659,0.6946666815876958,0.028588915951976636
2,2,10,10,5,15,200,100,True,False,True,200,0.001,0.0,0.9426667028665549,0.8697777855396269,2019-11-06 16:02:34,0.44674072206020354,0.03160447568845523,0.8315555655956268,0.013437991317411201
2,2,10,10,5,15,200,100,False,True,True,200,0.001,0.0,0.981499999165535,0.9345000463724138,2019-11-06 16:03:50,0.32570227071642865,0.031161771133826833,0.8890000438690185,0.010269618664564007
2,2,10,10,5,15,200,100,True,True,True,200,0.001,0.0,0.9570000016689302,0.8743333792686462,2019-11-06 16:06:58,0.3380467478930951,0.021587008859880297,0.8746667134761814,0.00936099000320711
2,2,15,15,5,15,200,100,False,False,False,200,0.001,0.0,0.9785000061988831,0.9596666944026948,2019-11-06 16:11:38,0.15692108014365655,0.023001120800486604,0.9406667023897171,0.010406203919856461
2,2,15,15,5,15,200,100,True,False,False,200,0.001,0.0,0.9690000078082084,0.9313333708047866,2019-11-06 16:11:48,0.18826026887167246,0.024978988528064384,0.9210000407695769,0.013088259239229526
2,2,15,15,5,15,200,100,False,True,False,200,0.001,0.0,0.9660000118613238,0.8202222326397897,2019-11-06 16:12:58,0.5986619689315558,0.05453692662699784,0.7280000138282776,0.029515634635263244
2,2,15,15,5,15,200,100,False,False,True,200,0.001,0.0,0.9540000304579733,0.916888893842697,2019-11-06 16:13:07,0.3985697217658163,0.03417131505108688,0.8577777862548825,0.012519949762570103
2,2,15,15,5,15,200,100,True,True,False,200,0.001,0.0,0.9620000126957895,0.7940000122785569,2019-11-06 16:13:11,0.6538487211614845,0.05444809046076954,0.70666668087244,0.02967026642919251
2,2,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.8566667038202284,0.65844446092844,2019-11-06 15:40:21,1.0294287770986559,0.06094759091046146,0.5380000158399342,0.03068807277361641
2,2,15,15,5,15,200,100,True,False,True,200,0.001,0.0,0.9310000383853914,0.8613333415985103,2019-11-06 16:13:36,0.44154176756739605,0.02517287523415484,0.8308888989686963,0.012410727322861508
2,2,15,15,5,15,200,100,False,True,True,200,0.001,0.0,0.9714999985694883,0.9273333781957624,2019-11-06 16:22:07,0.2951835465431214,0.02158325005545653,0.8825000423192976,0.010271245428439527
2,2,15,15,5,15,200,100,True,True,True,200,0.001,0.0,0.9602500033378605,0.8955000454187394,2019-11-06 16:22:07,0.3191212277114392,0.019604368794469508,0.8793333774805068,0.009275854946597087
