train.way,test.way,train.shot,test.shot,train.query,test.query,train.episodes,test.episodes,background,silence,unknown,epochs,lr,wd,train.acc,val.acc,timestamp
4,4,1,1,5,15,200,100,True,False,False,200,0.001,0.0,0.622250010445714,0.40900002270936964,2019-11-05 11:48:19
4,4,1,1,5,15,200,100,False,True,False,200,0.001,0.0,0.673999980539084,0.4393333446979523,2019-11-05 11:49:53
4,4,1,1,5,15,200,100,False,False,True,200,0.001,0.0,0.7307999813556674,0.5754666778445245,2019-11-05 11:49:56
4,4,1,1,5,15,200,100,True,True,False,200,0.001,0.0,0.6413999849185351,0.41093334332108505,2019-11-05 11:49:59
4,4,1,1,5,15,200,100,True,False,True,200,0.001,0.0,0.6821999828517434,0.4846666783094407,2019-11-05 11:52:38
4,4,1,1,5,15,200,100,False,True,True,200,0.001,0.0,0.7965000453591343,0.5977777880430221,2019-11-05 11:54:08
4,4,1,1,5,15,200,100,True,True,True,200,0.001,0.0,0.7331667090952396,0.5792222324013713,2019-11-05 11:54:13
4,4,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.9172500088810926,0.7441667079925538,2019-11-05 11:57:09
2,2,5,5,5,15,200,100,False,False,False,200,0.001,0.0,0.947500008940697,0.8906667113304135,2019-11-05 10:39:57
4,4,5,5,5,15,200,100,True,False,False,200,0.001,0.0,0.8975000107288362,0.7260000425577162,2019-11-05 11:57:12
4,4,5,5,5,15,200,100,False,True,False,200,0.001,0.0,0.8647999769449233,0.6361333480477328,2019-11-05 11:57:29
4,4,5,5,5,15,200,100,False,False,True,200,0.001,0.0,0.8963999778032307,0.7360000151395798,2019-11-05 11:58:34
4,4,5,5,5,15,200,100,True,True,False,200,0.001,0.0,0.9235999846458434,0.6098666819930076,2019-11-05 11:58:41
4,4,5,5,5,15,200,100,True,False,True,200,0.001,0.0,0.8719999769330022,0.6918666827678679,2019-11-05 12:00:10
4,4,5,5,5,15,200,100,False,True,True,200,0.001,0.0,0.9413333678245548,0.7825555807352066,2019-11-05 12:00:46
4,4,5,5,5,15,200,100,True,True,True,200,0.001,0.0,0.935000040233135,0.7571111363172531,2019-11-05 12:00:48
4,4,10,10,5,15,200,100,False,False,False,200,0.001,0.0,0.8570000135898596,0.7923333770036702,2019-11-05 12:03:56
4,4,10,10,5,15,200,100,True,False,False,200,0.001,0.0,0.9115000104904175,0.786000043749809,2019-11-05 12:04:11
4,4,10,10,5,15,200,100,False,True,False,200,0.001,0.0,0.899599979221821,0.6684000152349472,2019-11-05 12:04:18
